G2latitude,G2longitude,G2pressure,G2depth,G2temperature,G2theta,G2salinity,G2sigma0,G2phtsinsitutp,G2silicate,G2nitrate,G2sigma3,G2gamma,G2aou,G2sigma4,G2phosphate,G2sigma1,G2tco2,G2oxygen,G2sigma2,G2fco2,G2talk
-44.835,-173.14,48.7,48.3,12.34,12.334,34.766,26.344,8.1078,0.86927,4.3828,39.278,26.39643916,6.5513,43.401,0.46161,30.752,2068.7,255.33,35.063,462.06,2297.1
-44.835,-173.14,197.1,195.41,10.3,10.277,34.734,26.697,8.0211,3.5807,13.028,39.755,26.7732492,39.515,43.916,0.88363,31.148,2114.5,233.99,35.5,619.4,2290.8
-44.835,-173.14,297.2,294.58,8.92,8.8879,34.565,26.796,8.0025,4.9194,16.887,39.946,26.8853596,44.981,44.135,1.1371,31.278,2124.3,237.23,35.66,678.1,2284.6
-44.835,-173.14,396.8,393.21,7.97,7.9297,34.446,26.849,8.0078,5.8192,18.689,40.065,26.95016173,37.469,44.275,1.2637,31.354,2125.8,251.05,35.759,688.01,2283.3
-44.835,-173.14,696,689.2,7.17,7.1022,34.43,26.956,7.9605,9.8013,22.411,40.228,27.06833938,64.898,44.456,1.5084,31.48,2144.4,229.09,35.903,776.07,2283.3
-44.835,-173.14,898.2,889,6.18,6.098,34.379,27.05,7.9314,17.083,25.802,40.393,27.18043531,84.453,44.643,1.7321,31.599,2161.3,216.5,36.046,850.45,2286.9
-44.835,-173.14,1097.3,1085.5,5.01,4.918,34.36,27.177,7.8892,29.652,29.405,40.607,27.33712679,105.32,44.884,1.955,31.756,2187.5,204.11,36.232,968.59,2295.2
-44.835,-173.14,1297.6,1283.1,4.05,3.9487,34.388,27.305,7.8666,44.591,31.956,40.806,27.48095261,124.99,45.106,2.1464,31.908,2210.3,191.63,36.408,1044.7,2308.9
-44.835,-173.14,1498.4,1480.9,3.39,3.2781,34.455,27.424,7.8419,60.976,33.295,40.976,27.62079237,142.38,45.291,2.2627,32.045,2234.7,179.27,36.561,1120,2325.4
-44.835,-173.14,1997.3,1971.7,2.5,2.3563,34.613,27.633,7.82,89.268,34.048,41.254,27.86275397,163.95,45.59,2.3345,32.277,2268.6,164.7,36.817,1175.4,2355.9
-44.835,-173.14,2309.9,2278.6,2.21,2.043,34.679,27.711,7.8278,91.696,32.841,41.356,27.95076918,158.69,45.7,2.2533,32.363,2265.2,172.37,36.911,1133.4,2358
-44.835,-173.14,2498.6,2463.7,2.08,1.8981,34.707,27.745,7.8264,92.244,32.182,41.401,27.99025059,152.66,45.748,2.1828,32.401,2261.5,179.54,36.953,1121.1,2355.7
-44.835,-173.14,2817.5,2776.1,1.85,1.6428,34.729,27.782,7.8334,95.427,31.34,41.459,28.04203543,143.28,45.812,2.1073,32.445,2253.8,191,37.003,1078.1,2353.5
-44.835,-173.14,3054.9,3008.3,1.62,1.3949,34.734,27.804,7.8283,99.617,31.252,41.501,28.08290694,140.19,45.861,2.1165,32.474,2256.3,196.17,37.039,1076.9,2356.5
-44.835,-173.14,3299.1,3247,1.4,1.1562,34.728,27.816,7.8263,106.41,31.401,41.533,28.11745619,138.76,45.899,2.1402,32.493,2256.9,199.66,37.065,1066.7,2358.8
-44.835,-173.14,3496.2,3439.4,1.2,0.94155,34.718,27.823,7.8193,111.93,31.704,41.558,28.1471758,137.66,45.93,2.1375,32.506,2258.3,202.65,37.084,1072,2359.6
-44.835,-173.14,3697,3635.3,1.06,0.78486,34.716,27.831,7.8114,116.44,31.834,41.58,28.17438908,136.94,45.956,2.156,32.519,2259.9,204.74,37.101,1076.8,2360.7
-44.835,-173.14,3898.9,3832.1,0.95,0.65704,34.71,27.834,7.804,119.56,31.687,41.594,28.19358459,135.7,45.973,2.1764,32.526,2261.7,207.12,37.112,1079.7,2362.3
-44.529,-173.49,2.6,2.579,12.6,12.6,34.846,26.354,8.1074,0.97807,3.2983,39.271,26.40682167,7.266,43.389,0.38816,30.756,2068.9,253.04,35.061,459.76,2298.8
-44.321,-173.74,3.8,3.7694,13.25,13.249,34.921,26.282,8.1146,1.0996,1.8689,39.161,26.3311262,6.8649,43.266,0.29462,30.671,2063.6,249.88,34.963,439.39,2302.9
-44.321,-173.74,148.2,146.95,11.39,11.371,34.868,26.605,8.0332,3.3027,10.675,39.594,26.67228806,37.441,43.734,0.81383,31.032,2105.9,229.54,35.361,578.08,2294.9
-44.321,-173.74,198,196.31,10.69,10.666,34.783,26.667,8.0201,3.8697,12.343,39.7,26.73977638,41.439,43.853,0.92226,31.109,2112.6,229.71,35.453,611.38,2291.4
-44.321,-173.74,248.3,246.15,9.93,9.9014,34.687,26.725,8.0166,3.8537,13.523,39.807,26.8042791,39.642,43.976,1.0128,31.184,2115.3,236.17,35.544,632.06,2287.8
-44.321,-173.74,398.2,394.61,8.13,8.0891,34.458,26.835,8.0002,5.7432,18.701,40.04,26.93373253,39.399,44.247,1.3165,31.336,2126,248.07,35.737,696.19,2281.5
-44.321,-173.74,498.1,493.49,8.09,8.0386,34.521,26.892,7.9696,8.1387,20.575,40.099,26.99352066,64.021,44.306,1.3835,31.394,2138.5,223.64,35.795,746.13,2283.7
-44.321,-173.74,698.6,691.81,7.34,7.271,34.482,26.973,7.9439,12.54,23.346,40.232,27.08234532,81.103,44.456,1.5675,31.493,2151.7,211.65,35.912,803.78,2285.8
-44.321,-173.74,896.9,887.76,6.28,6.1974,34.422,27.071,7.9174,19.793,26.422,40.406,27.20002638,96.126,44.654,1.7633,31.617,2167.4,204.04,36.061,877.26,2288.8
