latitude,longitude,Water_depth_m,Sample_depth_average_cm,C_N_Ratio,Total_Organic_Carbon_perc,Total_Nitrogen_perc,d13C,D14C
70.168,161.217,8,0.5,6.5,0.4,0.06,-26.2,-514.3
69.817,164.057,31,0.5,8.9,1.22,0.14,-26.8,-542
70.135,168.007,42,0.5,6.7,0.94,0.14,-25.7,-489.2
71.219,169.373,44,0.5,6.1,1.23,0.2,-24.3,-427
71.968,171.792,43,0.5,6.1,1.32,0.22,-23.9,-373.3
75.551,160.7512,48,0.5,5.5,0.77,0.14,-23.9,-566.2
75.171,163.5862,50,0.5,5.5,0.77,0.14,-23.4,-498.3
75.7157,164.0793,58,0.5,5.8,0.76,0.13,-22.4,-450.6
76.9338,155.1693,57,0.5,5.9,0.91,0.16,-23.1,-464.6
76.9685,150.2912,43,0.5,6.1,0.87,0.14,-23.8,-515.5
74.8327,159.3302,42,0.5,6.2,0.88,0.14,-24.6,-606.6
76.3982,125.4728,50,0.5,6.7,0.4,0.06,-24.3,-433.1
72.2907,132.9212,21,0.5,9.9,1.51,0.15,-25.6,-506.4
76.7772,125.8295,74,0.5,7.4,1.26,0.17,-24.1,-325.5
76.3989,125.46,52,0.5,8.6,0.85,0.1,-24.9,-289.2
76.4559,126.2111,51,0.5,8.2,0.66,0.08,-23.9,-295.2
76.4538,126.7416,52,0.5,7.8,0.63,0.08,-23.8,-317.1
76.126,127.1903,46,0.5,7.9,0.48,0.06,-24.2,-320.7
77.7526,136.5445,57,0.5,6.9,1.06,0.15,-23.4,-452.5
78.1815,138.3552,69,0.5,7,1.08,0.16,-23.3,-465.1
79.3959,135.4965,3056,0.5,7.6,1.23,0.16,-23.1,-489.4
71.96,129.54,11,0.5,12.3,4.8,0.39,-25,-609
31.342,122.355,12,2.5,10,0.5,0.06,-23.4,-302
30.895,122.366,10,2.5,10,0.41,0.05,-22.9,-356
30.791,122.835,26,2.5,10,0.55,0.07,-22.4,-340
30.545,122.485,25,2.5,11,0.37,0.05,-22.4,-399
30.337,123.252,64,2.5,9,0.52,0.07,-21,-283
30.206,122.754,19,2.5,9,0.39,0.05,-22.9,-351
30.135,122.996,51,2.5,14,0.43,0.04,-21.9,-340
30.068,123.245,64,2.5,11,0.54,0.06,-22.3,-330
38.01,119.414,17,2.5,18,0.15,0.01,-25,-425
37.872,119.466,16,2.5,14,0.35,0.03,-23.7,-383
37.924,119.622,18,2.5,10,0.53,0.06,-23.5,-330
37.962,119.794,17,2.5,15,0.26,0.02,-21.4,-295
37.705,119.392,12,2.5,15,0.13,0.01,-24,-442
37.675,119.514,13,2.5,26,0.22,0.01,-23.4,-415
37.608,119.254,5,2.5,14,0.24,0.02,-23.2,-419
37.335,119.819,2,2.5,3,0.33,0.14,-22.5,-240
37.604,120.167,10,2.5,3,0.16,0.06,-22.3,-296
37.75,119.58,16,2.5,6.8333,0.41,0.07,-22.8,-337
38.33,119.45,24,2.5,7.5185,0.58,0.09,-22.2,-242
37.96461825,122.6155758,47,2.5,7.8167,0.67,0.1,-22.8,-226
37.39106145,122.9362055,29,2.5,8.1667,0.42,0.06,-22.5,-270
35.96,123,71,2.5,7.8596,1.28,0.19,-22.1,-191
36.06517691,124.069594,77,15,7.1944,0.74,0.12,-21.7,-235
34.37430168,120.5426678,14,5,6.8333,0.41,0.07,-23.1,-428
34.76908752,119.6404308,10,5,4.0833,0.14,0.04,-22.2,-435
76.894,127.798,64,0.5,6.4,0.89,0.14,-24.3,-314
